Landslide_,Elevation_,Aspect_Pla,Faults_dis,lithology_,LULC_Band_,NDVI_Band_,PlanCurve_,ProfileCur,Rainfall_B,Roads_dis_,Slope_Band,SoilGroup_,SoilMoistu,STI_Band_1,TWI_Band_1,Water_dis_
1,0.238517442,0.667909,0.0226307,0,0,0.499708,0.484495,0.48009,0.565269,0.0325626,0.399279,0.166666667,0.301969,0,0.178027,0.034036
1,0.17994186,0.673418,0.0226307,0,0,0.481083,0.455432,0.527863,0.565269,0.0153501,0.397736,0.166666667,0.301969,0,0.195674,0.0160447
1,0.210755814,0.835159,0,0,1,0.481637,0.47037,0.502987,0.565269,0.0383753,0.784728,0.166666667,0.385792,0,0.0943492,0.0401118
1,0.192005814,0.673978,0.0301743,0,0,0.485383,0.5084,0.491084,0.565269,0.017162,0.387681,0.166666667,0.301969,0.00484242,0.206794,0.0179386
1,0.229360465,0.614105,0.0150871,0,0,0.482688,0.477696,0.521855,0.565269,0.0242707,0.43566,0.166666667,0.385792,0,0.142228,0.0253689
1,0.365116279,0.628938,0.0377178,0,1,0.484631,0.504493,0.582256,0.565269,0.0767507,0.781332,0.166666667,0.385792,0,0.0549195,0.0802237
1,0.281976744,0.724199,0.0377178,0,0,0.496455,0.487818,0.493182,0.565269,0.0651251,0.460721,0.166666667,0.385792,3.19288E-05,0.192859,0.068072
1,0.262936047,0.516005,0.0406234,0,0,0.470103,0.466802,0.466139,0.565269,0.0316451,0.461828,0.166666667,0.385792,0,0.229005,0.0330771
1,0.20494186,0.460238,0.112143,0,1,0.500144,0.499513,0.505022,0.565269,0,0.391354,0.166666667,0.483381,0,0.152584,0.00802237
1,0.22122093,0.476905,0.150305,0,1,0.499844,0.507319,0.443106,0.565269,0.00767507,0.472943,0.833333333,0.385792,0,0.191412,0.00802237
1,0.231976744,0.541524,0.14412,0,1,0.493024,0.491896,0.480689,0.565269,0,0.471556,0.833333333,0.385792,0,0.138149,0.00802237
1,0.225726744,0.528061,0.144907,0,0,0.48936,0.480809,0.532164,0.565269,0,0.412638,0.333333333,0.483381,0,0.253969,0
1,0.313372093,0.597202,0.101488,0,1,0.504363,0.459224,0.496817,0.565269,0.0383753,0.432366,0.333333333,0.379613,0,0.235039,0.0409062
1,0.328197674,0.407018,0.109836,0,0,0.44586,0.483323,0.497493,0.565269,0.0307003,0.474486,0.166666667,0.385792,0,0.14479,0.0320895
1,0.330813953,0.316776,0.11735,0,1,0.440137,0.468018,0.482806,0.565269,0.0383753,0.575947,0.333333333,0.385792,0,0.208919,0.0481342
1,0.17877907,0.356772,0.10561,0,1,0.490018,0.471735,0.493592,0.565269,0.00767507,0.480822,0.166666667,0.450454,0.00599264,0.219647,0.00802237
1,0.182267442,0.630883,0.120697,0,0,0.503003,0.471326,0.511596,0.565269,0.0217084,0.613204,0.166666667,0.483381,0,0.112101,0
1,0.175726744,0.120973,0.0980664,0,1,0.47432,0.484523,0.48273,0.565269,0,0.411785,0.166666667,0.483381,0,0.145855,0.00802237
1,0.219767442,0.192765,0.0742955,0,0,0.449716,0.424559,0.553264,0.565269,0.0153501,0.326505,0.166666667,0.483381,0,0,0.0253689
1,0.159156977,0.310279,0.111379,0,1,0.499027,0.490301,0.461104,0.565269,0,0.548029,0.333333333,0.483381,0,0.118216,0
1,0.249563953,0.435302,0.0506038,0.75,1,0.467145,0.4833,0.479147,0.740032,0.00767507,0.430857,0.333333333,0,0,0.149308,0.00802237
1,0.423837209,0.762381,0.277374,0.5,0,0.463321,0.471017,0.495643,1,0.0325626,0.416932,0.333333333,0.707722,0,0.240844,0.034036
1,0.443168605,0.524709,0.102604,0.75,0,0.445948,0.442887,0.502262,0.740032,0.082663,0.54618,0.5,0,0,0.14115,0.0802237
1,0.406686047,0.554576,0.108007,0.75,0,0.444772,0.465,0.490899,0.740032,0.0728121,0.398541,0.333333333,0,0.00635458,0.267803,0.0739626
1,0.44869186,0.633316,0.10507,0.75,0,0.431727,0.498904,0.512396,0.740032,0.0790197,0.518562,0.5,0,0,0.122136,0.0790111
1,0.391715116,0.670472,0.318263,0.5,1,0.453106,0.438575,0.522426,0.565269,0.0276729,0.599631,0.333333333,0.463867,0,0.128044,0.0401118
1,0.300290698,0.777295,0.347741,0.5,1,0.459311,0.518639,0.465122,0.565269,0.017162,0.499684,0.333333333,0.501948,0,0.181759,0.0226907
1,0.301744186,0.876756,0.345525,0.5,1,0.501006,0.474565,0.490587,0.35626,0.0801301,0.491472,0.166666667,0.501948,0,0.194634,0.120335
1,0.291715116,0.945062,0.336852,0.5,1,0.590004,0.500181,0.437478,0.35626,0.0949354,0.434199,0.166666667,0.463867,0,0.17169,0.126845
1,0.324418605,0.621851,0.351647,0.5,1,0.442735,0.503669,0.461173,0.565269,0.0599442,0.596476,0.166666667,0.463867,0,0.0957507,0.109116
1,0.331540698,0.635626,0.351647,0.5,1,0.49817,0.459854,0.505168,0.565269,0.0599442,0.476216,0.166666667,0.463867,0,0.141971,0.109116
1,0.24127907,0.462593,0.0311029,0.5,1,0.483742,0.476005,0.499576,0.565269,0,0.521763,0.333333333,0.515972,0,0.110045,0
1,0.156104651,0.661051,0.0168679,0.5,0,0.476003,0.498612,0.488603,0,0.0276729,0.427065,0.166666667,0.0877177,0,0.16554,0.0160447
0,0.260174419,0.413489,0.0106682,0.5,1,0.439586,0.489228,0.489058,0.565269,0,0.0687498,0.333333333,0.604011,0,0.286388,0.0160447
0,0.229215116,0.0355235,0.0458857,0.5,1,0.616251,0.471665,0.506627,0.565269,0.00767507,0.141467,0.333333333,0.515972,0,0.244479,0.0179386
0,0.224563953,0.836626,0.0769296,0.5,0,0.446258,0.482081,0.496513,0.565269,0,0.039826,0.833333333,0.515972,0,0.310633,0.00802237
0,0.20872093,0.325728,0,0,0,0.444657,0.47378,0.489968,0.565269,0.00767507,0.0260535,0.333333333,0.515972,0,0.435367,0.00802237
0,0.269331395,0.904823,0.0168679,0,1,0.53667,0.46995,0.515747,0.565269,0.017162,0.5608,0.166666667,0.505425,0.00816962,0.224242,0.0160447
0,0.209738372,0.683113,0.0150871,0,0,0.467058,0.480671,0.492783,0.565269,0.00767507,0.164442,0.166666667,0.505425,0,0.292891,0
0,0.293459302,0.634435,0.0377178,0,1,0.435388,0.482911,0.491931,0.565269,0.0307003,0.446234,0.166666667,0.505425,0,0.152859,0.00802237
0,0.244912791,0.952229,0,0,1,0.466777,0.494847,0.496106,0.565269,0.0108542,0.483524,0.166666667,0.505425,0.0120677,0.237316,0.0179386
0,0.302325581,0.932823,0.0226307,0,0,0.534331,0.488507,0.493726,0.565269,0.0316451,0.394828,0.333333333,0.505425,0,0.159581,0.0401118
0,0.395639535,0.429997,0.121636,0,1,0.464689,0.47461,0.506331,0.565269,0.102972,0.388525,0.333333333,0.628535,0,0.1642,0.11145
0,0.311918605,0.737639,0.0377178,0,1,0.481154,0.492382,0.473218,0.565269,0.0276729,0.485179,0.333333333,0.51938,0,0.134753,0.0253689
0,0.294040698,0.949117,0.0311029,0,1,0.467594,0.519013,0.491598,0.565269,0.0217084,0.464451,0.333333333,0.51938,0,0.144875,0.0179386
0,0.251162791,0.916512,0.0271987,0,1,0.485878,0.4942,0.500833,0.565269,0.00767507,0.259458,0.333333333,0.51938,0.00377607,0.289833,0.0160447
0,0.298546512,0.998881,0.0301743,0,0,0.485138,0.482911,0.491931,0.565269,0.0413315,0.296889,0.333333333,0.51938,0.00413857,0.225614,0.0401118
0,0.399273256,0.934492,0.0533411,0,1,0.424222,0.475805,0.515128,0.565269,0.0686479,0.354771,0.333333333,0.51938,0.0040142,0.225697,0.0685431
0,0.32630814,0.117054,0.0168679,0,0,0.570012,0.457781,0.50877,0.565269,0.0383753,0.280811,0.333333333,0.51938,0,0.212758,0.034036
0,0.328197674,0.911519,0.00754357,0,0,0.505453,0.474945,0.493504,0.565269,0.034324,0.337524,0.333333333,0.51938,0,0.198196,0.0358771
0,0.321366279,0.361923,0.00754357,0,1,0.445293,0.453851,0.508289,0.565269,0.0325626,0.489469,0.333333333,0.51938,0,0.140057,0.0330771
0,0.331831395,0.928504,0.00754357,0,0,0.475706,0.479122,0.499416,0.565269,0.044753,0.512532,0.333333333,0.522985,0,0.143573,0.046778
0,0.360319767,0.00277062,0.392048,0.5,1,0.466114,0.479847,0.455479,0.565269,0.0383753,0.411532,0.333333333,0.501948,0,0.203908,0.0538157
0,0.340116279,0.162041,0.347741,0.5,1,0.450187,0.541121,0.422633,0.565269,0.0307003,0.531664,0.333333333,0.463867,0,0.121514,0.0717542
0,0.382122093,0.296451,0.360595,0.5,1,0.464689,0.488492,0.532985,0.565269,0.0755907,0.432704,0.333333333,0.501948,0,0.135015,0.0790111
0,0.338953488,0.0232005,0.41606,0.5,0,0.56181,0.517598,0.485247,0.35626,0.0217084,0.406681,0.166666667,0.501948,0,0.15162,0.0226907
0,0.171366279,0.311003,0.105879,0,1,0.454928,0.500604,0.482319,0.565269,0.00767507,0.162561,0.833333333,0.483381,0,0.254836,0.00802237
0,0.17252907,0.483916,0.0980664,0,0,0.526053,0.474005,0.497999,0.565269,0,0.10499,0.333333333,0.483381,0,0.259378,0.0160447
0,0.269622093,0.329085,0.00754357,0.5,1,0.485328,0.467651,0.485135,0.565269,0,0.38847,0.166666667,0.498678,0,0.215029,0.0852789
0,0.346511628,0.131983,0.393424,0.5,1,0.431321,0.454716,0.561334,0.35626,0.0230252,0.519966,0.166666667,0.562165,0.0126751,0.237547,0.00802237
0,0.350581395,0.38826,0.0439862,0.5,1,0.463389,0.479834,0.497359,0.565269,0.0325626,0.349384,0.333333333,0.498678,0.00471083,0.225202,0.120603
0,0.32877907,0.142173,0.0238549,0.5,1,0.522778,0.469032,0.509787,0.565269,0.0108542,0.16859,0,0.498678,0,0.203953,0.129357
0,0.339680233,0.280236,0.0758119,0.5,1,0.4879,0.47286,0.468298,0.565269,0.0875093,0.334167,0.833333333,0.498678,0,0.164017,0.0610965
0,0.377616279,0.78867,0.0458857,0.5,1,0.449269,0.475842,0.494211,0.565269,0.0618784,0.549184,0.166666667,0.498678,0,0.143687,0.0584037
0,0.221802326,0.896942,0.0622059,0.5,1,0.471366,0.494336,0.48785,0.565269,0.0307003,0.349706,0.166666667,0.301969,0,0.177183,0.00802237
0,0.328197674,0.946806,0.129784,0.5,0,0.477657,0.475696,0.522896,0,0.0307003,0.386907,0.166666667,0.108744,0,0.204282,0.046778
0,0.273982558,0.110261,0.0644523,0.5,0,0.572932,0.486577,0.492204,0.565269,0.0153501,0.187372,0.166666667,0.441592,0,0.217534,0.0507379
0,0.317877907,0.311222,0.00754357,0,1,0.49827,0.517898,0.459302,0,0.153501,0.297914,0.166666667,0.298488,0,0.167962,0
0,0.335901163,0.923968,0.0106682,0,1,0.483766,0.440771,0.490121,0.565269,0.127739,0.432765,0.166666667,0.298488,0,0.147967,0.0179386
